CÓDIGO,PROVEEDOR,DESCRIPCIÓN,STOCK,UBICACIÓN,,,FLUIDOS,,
02250164-606,SULLAIR,KIT DE REPARACION INLET VALVE,2,ESTANTE ,,,,,
HAD-20B,IMPORTADO,PURGADOR AUTOMATICO,17,ESTANTE ,,,,,
8223054-TRA,SULLAIR,SWITCH PARK BRAKE,0,ESTANTE ,,,,,
02250100-095,SULLAIR,SWITCH TEMP.240ªF NC 3/4 SAE,3,CAJONES,,,,,
1089-0708-11,SULLAIR,TEMPERATURE SWITCH,1,ESTANTE ,,,,,
02250155-175,SULLAIR,P THERMISTER 3000 OHM NTC 6 L,3,CAJONES,,,,,
A028X493-ONA,ONAN,BULBO PRES ACE (ex 193-0444),1,CAJONES,,,,,
K65BAA,JEFFERSON,KIT DE REPARACION ,1,CAJONES,,,,,
K23AA,JEFFERSON,KIT DE REPARACION ,1,CAJONES,,,,,
´045672,SULLAIR,BANDA DE ACOPLE S.10,1,ESTANTE ,,,,,
4360469S-JLG,SULLAIR,SWITCH KEY E45 600 1200,1,CAJONES,,,,,
250041-638,SULLAIR,SWITCH ENG OIL PRESS,1,CAJONES,,,,,
02250171-245,SULLAIR,KIT DE REPARACION VALV.DRENAJE,1,CAJONES,,,,,
02250176-856,SULLAIR,KIT REP. VLV ENTRADA P/SHOPTEK,1,ESTANTE ,,,,,
02250176-967,SULLAIR,KIT REP VLV ENT P/WS0500/0700,1,ESTANTE ,,,,,
270021-405,SULLAIR,CILINDRO DE VELOCIDAD ,1,CAJONES,,,,,
242429,SULLAIR,GASKET OIL STOP VALVE,1,CAJONES,,,,,
´041619,SULLAIR,O RING CUADRADO,1,CAJONES,,,,,
001177RA,SULLAIR,KIT REP. VLV. PRESION MINIMA,1,CAJONES,,,,,
011579RA,SULLAIR,KIT SULLICON(41269 + 41270),1,ESTANTE ,,,,,
828406-150,SULLAIR,BULON CAB FERRY 3/8-16 x 1 1/2,8,CAJONES,,,,,
250035-041,SULLAIR,PIN DRIVE,8,CAJONES,,,,,
882806-150,SULLAIR,"CAPSCR, HEX 3/8-24 X 1 1/2 PLT",8,CAJONES,,,,,
250040-924,SULLAIR,CHAVETA,1,CAJONES,,,,,
005898-010,SULLAIR,ADHESIVO,1,CAJONES,,,,,
250035-375,SULLAIR,CUBO DE ACOPLE,1,ESTANTE ,,,,,
250028-036,SULLAIR,JGO.REP.TERMOSTATO,0,ESTANTE ,,,,,
02250222-539,SULLAIR,,1,ESTANTE ,,,,,
02250155-971,SULLAIR,"KIT, INLET VLV REPAIR",1,ESTANTE ,,,,,
